Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS}
Test,CoinBox,Coin_in_the_Box__pl_7,7,Yes,7.0,1817.0,13110.0,9.0,12886.0,214.0,TO,,,,,,
Training,SC,SC_4_1__pl_3,3,Yes,3.0,4.0,52.0,2.0,5.0,44.0,Yes,3.0,4.0,125.0,12.0,6.0,106.0
Test,SC,SC_4_1__pl_5,5,Yes,5.0,17.0,99.0,5.0,23.0,70.0,TO,,,,,,
Test,SC,SC_4_2__pl_5,5,Yes,5.0,15.0,99.0,3.0,46.0,49.0,TO,,,,,,
Training,SC,SC_4_2__pl_7,7,Yes,7.0,120.0,545.0,5.0,461.0,78.0,TO,,,,,,
Test,SC,SC_4_2__pl_8,8,Yes,8.0,339.0,1316.0,2.0,1231.0,82.0,TO,,,,,,
Training,SC,SC_4_3__pl_5,5,Yes,5.0,17.0,62.0,2.0,22.0,37.0,TO,,,,,,
Test,SC,SC_4_3__pl_6,6,Yes,6.0,21.0,113.0,1.0,34.0,77.0,TO,,,,,,
Test,SC,SC_4_3__pl_8,8,Yes,8.0,59.0,156.0,2.0,89.0,64.0,TO,,,,,,
Test,SC,SC_4_4__pl_5,5,Yes,5.0,17.0,87.0,2.0,25.0,59.0,TO,,,,,,
Training,SC,SC_8_10__pl_6,6,Yes,6.0,49.0,343.0,9.0,267.0,66.0,Yes,483.0,4776.0,58158.0,13.0,57780.0,364.0
Test,SC,SC_8_10__pl_8,8,Yes,8.0,542.0,3841.0,11.0,3715.0,114.0,Yes,1586.0,19087.0,326379.0,23.0,324931.0,1424.0
Test,SC,SC_8_10__pl_9,9,Yes,9.0,1660.0,14557.0,12.0,14213.0,331.0,Yes,1586.0,19087.0,319399.0,26.0,317758.0,1614.0
Test,SC,SC_8_10__pl_12,12,Yes,12.0,31662.0,203157.0,11.0,201065.0,2080.0,TO,,,,,,
Test,SC,SC_9_11__pl_4,4,Yes,4.0,8.0,141.0,13.0,60.0,67.0,Yes,6.0,13.0,172.0,31.0,55.0,85.0
Test,SC,SC_9_11__pl_5,5,Yes,5.0,11.0,96.0,11.0,32.0,52.0,Yes,8.0,21.0,296.0,29.0,193.0,73.0
Training,SC,SC_9_11__pl_6,6,Yes,6.0,26.0,161.0,12.0,109.0,39.0,Yes,509.0,5116.0,55844.0,21.0,55544.0,278.0
Test,SC,SC_9_11__pl_7,7,Yes,7.0,41.0,299.0,11.0,223.0,64.0,Yes,1286.0,15107.0,195915.0,15.0,194866.0,1033.0
Training,SC,SC_9_11__pl_8,8,Yes,8.0,66.0,271.0,11.0,223.0,36.0,Yes,1098.0,12438.0,186999.0,28.0,186097.0,873.0
Test,SC,SC_9_11__pl_9,9,Yes,9.0,238.0,2158.0,13.0,2077.0,67.0,Yes,1099.0,12457.0,150920.0,28.0,150184.0,707.0
Test,SC,SC_9_11__pl_10,10,Yes,10.0,663.0,5467.0,13.0,5272.0,181.0,Yes,1100.0,12470.0,176047.0,29.0,174229.0,1788.0
Test,SC,SC_9_11__pl_11,11,Yes,11.0,1262.0,10960.0,13.0,10710.0,236.0,Yes,1100.0,12472.0,173729.0,36.0,172882.0,810.0
Test,SC,SC_10_8__pl_9,9,TO,,,,,,,TO,,,,,,
Training,SC,SC_10_8__pl_10,10,Yes,10.0,10.0,97.0,8.0,24.0,64.0,Yes,10.0,10.0,112.0,37.0,22.0,52.0
Test,SC,SC_10_8__pl_14,14,Yes,14.0,93.0,378.0,8.0,345.0,24.0,Yes,16.0,33.0,273.0,30.0,144.0,98.0
Training,SC,SC_10_8__pl_15,15,Yes,15.0,130.0,543.0,8.0,434.0,100.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_2,2,Yes,2.0,6.0,173.0,12.0,131.0,29.0,Yes,4.0,13.0,720.0,38.0,559.0,122.0
Test,SCRich,SC_10_10__pl_3,3,Yes,3.0,10.0,248.0,13.0,195.0,39.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_6,6,Yes,6.0,309.0,5998.0,15.0,5918.0,64.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_7,7,Yes,7.0,647.0,11495.0,12.0,11392.0,90.0,TO,,,,,,
Test,SC,SC_10_10__pl_9,9,Yes,9.0,10.0,120.0,6.0,45.0,68.0,Yes,9.0,10.0,225.0,38.0,69.0,117.0
Test,SCRich,SC_10_10__pl_9,9,Yes,9.0,886.0,17444.0,18.0,17340.0,85.0,Yes,13.0,65.0,946.0,17.0,890.0,38.0
Test,SC,SC_10_10__pl_10,10,Yes,10.0,15.0,158.0,9.0,65.0,83.0,Yes,11.0,17.0,273.0,44.0,91.0,137.0
Training,SCRich,SC_10_10__pl_10,10,Yes,10.0,3096.0,58382.0,18.0,58130.0,233.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_13,13,Yes,13.0,15826.0,330014.0,16.0,329619.0,378.0,TO,,,,,,
Training,SC,SC_10_10__pl_13,13,Yes,13.0,51.0,360.0,9.0,255.0,95.0,Yes,17.0,49.0,519.0,30.0,330.0,158.0
Test,SCRich,SC_10_10__pl_14,14,Yes,14.0,30967.0,582175.0,17.0,581757.0,400.0,TO,,,,,,
Test,SC,SC_10_10__pl_17,17,Yes,17.0,946.0,5175.0,9.0,4978.0,187.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_17,17,TO,,,,,,,TO,,,,,,
