Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS},Goal {p5},Length {p5},Nodes {p5},Total (ms) {p5},Init (ms) {p5},Search (ms) {p5},Overhead (ms) {p5},Search {p5}
Training,CC,CC_2_3_4__pl_7,7,Yes,11.0,2054.0,88913.0,301.0,87729.0,882.0,Yes,9.0,22.0,3244.0,428.0,2735.0,80.0,Yes,7.0,4153.0,585278.0,372.0,574353.0,10552.0,A*(GNN)
Test,CC,CC_3_2_3__pl_3,3,Yes,3.0,4.0,228.0,11.0,59.0,157.0,Yes,3.0,3.0,196.0,26.0,72.0,97.0,Yes,3.0,14.0,318.0,28.0,203.0,86.0,A*(GNN)
Training,CC,CC_3_2_3__pl_4,4,Yes,5.0,13.0,219.0,22.0,136.0,60.0,Yes,5.0,7.0,160.0,23.0,74.0,62.0,Yes,4.0,47.0,689.0,19.0,562.0,107.0,A*(GNN)
Training,CC,CC_3_2_3__pl_5,5,Yes,6.0,51.0,888.0,30.0,787.0,70.0,Yes,6.0,45.0,463.0,20.0,338.0,104.0,Yes,5.0,136.0,2088.0,23.0,1986.0,78.0,A*(GNN)
Test,CC,CC_3_2_3__pl_6,6,Yes,6.0,74.0,1201.0,34.0,1075.0,91.0,Yes,6.0,113.0,1092.0,15.0,1005.0,71.0,Yes,6.0,367.0,6443.0,22.0,6251.0,169.0,A*(GNN)
Test,CC,CC_3_2_3__pl_7,7,Yes,8.0,185.0,3058.0,34.0,2883.0,140.0,Yes,7.0,1835.0,24464.0,15.0,24137.0,311.0,Yes,7.0,1548.0,26110.0,20.0,25731.0,358.0,A*(GNN)
Test,CC,CC_3_3_3__pl_3,3,Yes,3.0,3.0,218.0,71.0,107.0,39.0,Yes,3.0,4.0,367.0,71.0,238.0,57.0,Yes,3.0,15.0,790.0,71.0,624.0,94.0,A*(GNN)
Training,CC,CC_3_3_3__pl_4,4,Yes,6.0,19.0,1730.0,65.0,1566.0,98.0,Yes,4.0,4.0,495.0,65.0,303.0,126.0,Yes,4.0,39.0,1337.0,55.0,1194.0,87.0,A*(GNN)
Test,CC,CC_3_3_3__pl_5,5,Yes,6.0,26.0,1975.0,35.0,1864.0,75.0,Yes,7.0,22.0,534.0,64.0,377.0,92.0,Yes,5.0,253.0,8316.0,67.0,7921.0,327.0,A*(GNN)
Test,CC,CC_3_3_3__pl_6,6,Yes,8.0,226.0,13395.0,63.0,12662.0,669.0,TO,,,,,,,Yes,6.0,1942.0,73680.0,49.0,72067.0,1563.0,A*(GNN)
Test,CC,CC_3_3_3__pl_7,7,Yes,8.0,1476.0,59481.0,83.0,57811.0,1586.0,Yes,8.0,79.0,1255.0,35.0,1141.0,78.0,Yes,7.0,11726.0,405444.0,54.0,394411.0,10978.0,A*(GNN)
Test,CoinBox,Coin_in_the_Box__pl_2,2,Yes,2.0,2.0,52.0,9.0,4.0,38.0,Yes,2.0,2.0,50.0,9.0,4.0,36.0,Yes,2.0,2.0,109.0,17.0,7.0,84.0,A*(GNN)
Training,CoinBox,Coin_in_the_Box__pl_3,3,Yes,3.0,17.0,220.0,9.0,120.0,90.0,Yes,3.0,17.0,129.0,6.0,86.0,36.0,Yes,3.0,17.0,228.0,18.0,115.0,94.0,A*(GNN)
Test,CoinBox,Coin_in_the_Box__pl_5,5,Yes,5.0,77.0,425.0,12.0,355.0,57.0,Yes,5.0,77.0,552.0,9.0,483.0,59.0,Yes,5.0,78.0,728.0,17.0,623.0,87.0,A*(GNN)
Training,CoinBox,Coin_in_the_Box__pl_6,6,Yes,6.0,381.0,3534.0,9.0,3347.0,177.0,Yes,6.0,381.0,2748.0,9.0,2623.0,115.0,Yes,6.0,381.0,3760.0,18.0,3572.0,169.0,A*(GNN)
Test,CoinBox,Coin_in_the_Box__pl_7,7,Yes,7.0,1817.0,10395.0,12.0,10239.0,143.0,Yes,7.0,1817.0,13110.0,9.0,12886.0,214.0,Yes,7.0,1793.0,17758.0,18.0,17444.0,295.0,A*(GNN)
Training,SC,SC_4_1__pl_3,3,Yes,3.0,4.0,51.0,4.0,6.0,40.0,Yes,3.0,4.0,52.0,2.0,5.0,44.0,Yes,3.0,4.0,96.0,7.0,10.0,78.0,A*(GNN)
Test,SC,SC_4_1__pl_5,5,Yes,5.0,17.0,125.0,2.0,37.0,85.0,Yes,5.0,17.0,99.0,5.0,23.0,70.0,Yes,5.0,17.0,93.0,7.0,23.0,62.0,A*(GNN)
